id,level,category,question,correct,image,reason
L1-26,1,Werkkunde,Welcher Komponist schrieb die „Enigma-Variationen“?,Elgar,images/elgar.jpg,correct-answer:elgar->elgar
L1-27,1,Komponisten,Welcher Komponist war ein wichtiger Vertreter der tschechischen Nationalmusik und schrieb „Mein Vaterland“?,Smetana,images/smetana.jpg,correct-answer:smetana->smetana
L1-28,1,Werkkunde,Welcher Komponist schrieb die „Ungarischen Tänze“?,Brahms,images/brahms.jpg,correct-answer:brahms->brahms
L1-29,1,Oper & Musiktheater,Welcher Komponist schrieb die Oper „Porgy and Bess“?,Gershwin,images/gershwin.jpg,correct-answer:gershwin->gershwin
L1-30,1,Werkkunde,Welcher Komponist schrieb die „Kindertotenlieder“?,Mahler,images/mahler.jpg,correct-answer:mahler->mahler
L1-31,1,Komponisten,Welcher Komponist wurde 1685 in Eisenach geboren?,Bach,images/bach.jpg,correct-answer:bach->bach
L1-32,1,Komponisten,Welcher Komponist war ein Zeitgenosse Bachs und wurde ebenfalls 1685 geboren?,Händel,images/handel.jpg,correct-answer:händel->handel
L1-33,1,Komponisten,Welcher Komponist wurde wegen seiner langen Tätigkeit in London auch mit den „Londoner Sinfonien“ verbunden?,Haydn,images/jhaydn.jpg,correct-answer:haydn->jhaydn
L1-34,1,Komponisten,"Welcher Komponist schrieb besonders viele Lieder, darunter „Erlkönig“?",Schubert,images/schubert.png,correct-answer:schubert->schubert
L1-35,1,Komponisten,Welcher Komponist schrieb die 9. Sinfonie mit dem berühmten Schlusschor „Ode an die Freude“?,Beethoven,images/beethoven.webp,correct-answer:beethoven->beethoven
L1-36,1,Komponisten,"Welche Oper von Verdi enthält den berühmten Gefangenenchor „Va, pensiero“?",Nabucco,images/verdi.jpg,correct-answer:nabucco->verdi
L1-37,1,Komponisten,Welcher Komponist schrieb viele Werke für Klavier und lebte lange in Paris?,Chopin,images/chopin.jpg,correct-answer:chopin->chopin
L1-38,1,Komponisten,Welcher Komponist schrieb die Oper „Der Freischütz“?,Carl Maria von Weber,images/weber.jpg,correct-answer:carl maria von weber->weber
L1-39,1,Komponisten,Welcher Komponist stammt aus Norwegen?,Grieg,images/grieg.jpg,correct-answer:grieg->grieg
L1-40,1,Komponisten,Welcher Komponist schrieb „Carmina Burana“?,Carl Orff,images/orff.jpg,correct-answer:carl orff->orff
L2-1,2,Kirchenmusik & Chor,Wer komponierte die 'Matthäus-Passion'?,Johann Sebastian Bach,images/bach.jpg,correct-answer:johann sebastian bach->bach
L2-2,2,Oper & Musiktheater,Wer komponierte die Oper 'La Traviata'?,Verdi,images/verdi.jpg,correct-answer:verdi->verdi
L2-3,2,Werkkunde,Welcher Komponist schrieb 'Die Moldau'?,Smetana,images/smetana.jpg,correct-answer:smetana->smetana
L2-4,2,Werkkunde,Von wem stammt der berühmte 'Boléro'?,Ravel,images/ravel.jpg,correct-answer:ravel->ravel
L2-5,2,Werkkunde,Wer komponierte 'Carmina Burana'?,Carl Orff,images/orff.jpg,correct-answer:carl orff->orff
L2-6,2,Oper & Musiktheater,Wer komponierte das Musical 'West Side Story'?,Leonard Bernstein,images/bernstein.jpg,correct-answer:leonard bernstein->bernstein
L2-7,2,Kirchenmusik & Chor,Wer schrieb 'Ein deutsches Requiem'?,Brahms,images/brahms.jpg,correct-answer:brahms->brahms
L2-8,2,Werkkunde,Wer komponierte 'Le Sacre du printemps'?,Strawinsky,images/stravinsky.jpg,correct-answer:strawinsky->stravinsky
L2-9,2,Oper & Musiktheater,Wer komponierte den Opernzyklus 'Der Ring des Nibelungen'?,Richard Wagner,images/wagner.jpg,correct-answer:richard wagner->wagner
L2-10,2,Werkkunde,Zu welchem Komponisten gehört die Schauspielmusik 'Peer Gynt'?,Grieg,images/grieg.jpg,correct-answer:grieg->grieg
L2-11,2,Werkkunde,Welches Werk beginnt mit dem berühmten Orchester- und Chor-Ausbruch „O Fortuna“?,Carmina Burana,images/orff.jpg,correct-answer:carmina burana->orff
L2-12,2,Oper & Musiktheater,"Aus welchem Werk stammt der Chor „Va, pensiero“?",Nabucco,images/verdi.jpg,correct-answer:nabucco->verdi
L2-13,2,Kirchenmusik & Chor,Welches Werk ist ein berühmtes Oratorium von Mendelssohn?,Elias,images/mendelssohn.jpg,correct-answer:elias->mendelssohn
L2-14,2,Werkkunde,Welches Werk ist eine Ballettmusik von Tschaikowsky?,Dornröschen,images/Tchaikovsky.jpg,correct-answer:dornröschen->tchaikovsky
L2-15,2,Werkkunde,Welches Werk stammt von Mussorgsky und wurde später von Ravel orchestriert?,Bilder einer Ausstellung,images/mussorgsky.jpg,correct-answer:bilder einer ausstellung->mussorgsky
L2-16,2,Werkkunde,Welches Werk ist eine sinfonische Dichtung von Smetana?,Die Moldau,images/smetana.jpg,correct-answer:moldau->smetana
L2-17,2,Werkkunde,Welches Werk ist ein Klavierzyklus von Schumann?,Kinderszenen,images/schumann.jpg,correct-answer:kinderszenen->schumann
L2-18,2,Werkkunde,Welches Werk ist ein berühmter Liederzyklus von Schubert?,Winterreise,images/schubert.png,correct-answer:winterreise->schubert
L2-19,2,Oper & Musiktheater,Welche Oper stammt von Leoš Janáček?,Jenůfa,images/janacek.jpg,correct-answer:jenůfa->janacek
L2-20,2,Werkkunde,Welches Werk gehört zu Ravels bekanntesten Orchesterstücken?,Boléro,images/ravel.jpg,correct-answer:boléro->ravel
L2-21,2,Werkkunde,Welches Werk ist ein berühmtes Orchesterwerk von Debussy?,La Mer,images/debussy.jpg,correct-answer:la mer->debussy
L2-22,2,Kirchenmusik & Chor,Welches Werk von Brahms ist kein Requiem im liturgisch-lateinischen Sinn?,Ein deutsches Requiem,images/brahms.jpg,correct-answer:deutsches requiem->brahms
L2-23,2,Werkkunde,Welches Werk ist eine berühmte sinfonische Dichtung von Richard Strauss?,Don Juan,images/rstrauss.jpg,correct-answer:don juan->rstrauss
L2-24,2,Werkkunde,Welches Werk von Sibelius gilt als musikalisches Symbol Finnlands?,Finlandia,images/sibelius.jpg,correct-answer:finlandia->sibelius
L2-25,2,Werkkunde,Welches Werk stammt nicht von Felix Mendelssohn Bartholdy?,Die Moldau,images/smetana.jpg,correct-answer:moldau->smetana
L2-26,2,Werkkunde,Welches Werk ist ein berühmtes Klavierkonzert von Grieg?,a-Moll-Konzert,images/grieg.jpg,correct-answer:a-moll-konzert->grieg
L2-27,2,Kirchenmusik & Chor,Welches Werk stammt von Fauré?,Requiem,images/faure.jpg,text:gabriel fauré->faure
L2-28,2,Werkkunde,Welches Werk ist ein Liederzyklus von Robert Schumann?,Dichterliebe,images/schumann.jpg,correct-answer:dichterliebe->schumann
L2-29,2,Oper & Musiktheater,Welches Werk ist eine Oper von Gershwin?,Porgy and Bess,images/gershwin.jpg,correct-answer:porgy and bess->gershwin
L2-30,2,Oper & Musiktheater,Welches Werk gehört zu Mussorgskys bekanntesten Bühnenwerken?,Boris Godunow,images/mussorgsky.jpg,correct-answer:boris godunow->mussorgsky
L2-31,2,Werkkunde,Wer schrieb das berühmteste Weihnachtsoratorium?,Bach,images/bach.jpg,correct-answer:bach->bach
L2-32,2,Werkkunde,Wer komponierte „Die Zauberflöte“?,Mozart,images/Mozart.jpg,correct-answer:mozart->mozart
L2-33,2,Werkkunde,Zu welchem Werk gehört der berühmte „Halleluja“-Chor?,Messias,images/handel.jpg,correct-answer:messias->handel
L2-34,2,Werkkunde,Wer schrieb „Ein deutsches Requiem“?,Brahms,images/brahms.jpg,correct-answer:brahms->brahms
L2-35,2,Werkkunde,Wer komponierte „Die Moldau“?,Smetana,images/smetana.jpg,correct-answer:smetana->smetana
L2-36,2,Werkkunde,Wer schrieb die „Kinderszenen“?,Schumann,images/schumann.jpg,correct-answer:schumann->schumann
L2-37,2,Werkkunde,Wer komponierte „Peter und der Wolf“?,Prokofjew,images/prokofiev.jpg,correct-answer:prokofjew->prokofiev
L2-38,2,Werkkunde,Wer schrieb „The Young Person’s Guide to the Orchestra“?,Britten,images/britten.jpg,correct-answer:britten->britten
L2-39,2,Werkkunde,Wer komponierte „Boléro“?,Ravel,images/ravel.jpg,correct-answer:ravel->ravel
L2-40,2,Werkkunde,Wer schrieb die Oper „Carmen“?,Bizet,images/bizet.jpg,correct-answer:bizet->bizet
L3-1,3,Epochen & Stil,Johann Sebastian Bach gehört hauptsächlich zu welcher Epoche?,Barock,images/bach.jpg,text:johann sebastian bach->bach
L3-2,3,Epochen & Stil,Wolfgang Amadeus Mozart ist ein zentraler Komponist welcher Epoche?,Wiener Klassik,images/jhaydn.jpg,correct-answer:wiener klassik->jhaydn
L3-3,3,Epochen & Stil,Frédéric Chopin wird vor allem welcher Epoche zugeordnet?,Romantik,images/chopin.jpg,text:frédéric chopin->chopin
L3-4,3,Epochen & Stil,Claude Debussy wird besonders mit welcher Stilrichtung verbunden?,Impressionismus,images/debussy.jpg,correct-answer:impressionismus->debussy
L3-5,3,Epochen & Stil,Arnold Schönberg ist eng verbunden mit welcher musikalischen Entwicklung?,Zwölftontechnik,images/schoenberg.jpg,correct-answer:zwölftontechnik->schoenberg
L3-6,3,Epochen & Stil,Giovanni Pierluigi da Palestrina steht besonders für welche Epoche?,Renaissance,images/palestrina.jpg,text:giovanni pierluigi da palestrina->palestrina
L3-7,3,Epochen & Stil,Claudio Monteverdi steht musikgeschichtlich besonders an der Schwelle zwischen ...,Renaissance und Barock,images/monteverdi.jpg,text:claudio monteverdi->monteverdi
L3-8,3,Epochen & Stil,Igor Strawinsky gehört vor allem zur Musik welcher Zeit?,20. Jahrhundert / Moderne,images/stravinsky.jpg,text:igor strawinsky->stravinsky
L3-9,3,Epochen & Stil,Joseph Haydn gilt als wichtiger Vertreter welcher Epoche?,Wiener Klassik,images/jhaydn.jpg,correct-answer:wiener klassik->jhaydn
L3-10,3,Epochen & Stil,John Cage wird besonders mit welcher Richtung verbunden?,Experimentelle Musik / Avantgarde,images/cage.jpg,correct-answer:avantgarde->cage
L3-11,3,Epochen & Stil,Welche Epoche verbindet man besonders mit Generalbass und Affektenlehre?,Barock,images/icon-512.png,neutral-logo
L3-12,3,Epochen & Stil,Welche Stilrichtung arbeitet oft mit schwebenden Klangfarben und Ganztonleitern?,Impressionismus,images/debussy.jpg,correct-answer:impressionismus->debussy
L3-13,3,Epochen & Stil,Welche Epoche bevorzugte häufig klare Periodik und ausgewogene Formen?,Klassik,images/jhaydn.jpg,text:wiener klassik->jhaydn
L3-14,3,Epochen & Stil,Welche musikalische Richtung ist eng mit Arnold Schönberg verbunden?,Zweite Wiener Schule,images/schoenberg.jpg,correct-answer:zweite wiener schule->schoenberg
L3-15,3,Epochen & Stil,Welche Epoche steht zeitlich vor dem Barock?,Renaissance,images/icon-512.png,neutral-logo
L3-16,3,Epochen & Stil,"Welche Epoche wird häufig mit gesteigerter Subjektivität, Naturbildern und Sehnsucht verbunden?",Romantik,images/icon-512.png,neutral-logo
L3-17,3,Epochen & Stil,Welcher Begriff passt besonders zur Musik um 1900 mit stark erweiterter Harmonik?,Spätromantik,images/schoenberg.jpg,text:schönberg->schoenberg
L3-18,3,Epochen & Stil,Welche Stilrichtung verwendet oft wiederholte Muster und langsame Veränderungen?,Minimal Music,images/icon-512.png,neutral-logo
L3-19,3,Kirchenmusik & Chor,Welche Epoche brachte die Mehrchörigkeit der venezianischen Schule hervor?,Renaissance,images/icon-512.png,neutral-logo
L3-20,3,Epochen & Stil,Welche Epoche liegt ungefähr zwischen Renaissance und Klassik?,Barock,images/icon-512.png,neutral-logo
L3-21,3,Werkkunde,Welches Werk ist eine berühmte Tondichtung von Dukas?,Der Zauberlehrling,images/dukas.jpg,correct-answer:zauberlehrling->dukas
L3-22,3,Kirchenmusik & Chor,Welches Werk von Britten ist ein grosser Beitrag zur Chorliteratur des 20. Jahrhunderts?,War Requiem,images/britten.jpg,correct-answer:war requiem->britten
L3-23,3,Werkkunde,Welches Werk ist ein berühmter Klavierzyklus von Debussy?,Préludes,images/debussy.jpg,correct-answer:préludes->debussy
L3-24,3,Kirchenmusik & Chor,Welches Werk gehört zur Kirchenmusik von Rossini?,Petite Messe solennelle,images/rossini.jpg,correct-answer:petite messe->rossini
L3-25,3,Werkkunde,Welches Werk ist eine sinfonische Dichtung von Liszt?,Les Préludes,images/liszt.png,correct-answer:les préludes->liszt
L3-26,3,Oper & Musiktheater,Welche Oper stammt von Verdi und spielt im alten Ägypten?,Aida,images/verdi.jpg,correct-answer:aida->verdi
L3-27,3,Oper & Musiktheater,Was bezeichnet man in Wagners Musikdramen häufig als „Leitmotiv“?,"Ein wiederkehrendes Motiv für Figur, Idee oder Situation",images/wagner.jpg,text:leitmotiv->wagner
L3-28,3,Oper & Musiktheater,"Welche Oper von Mozart enthält die Figuren Susanna, Figaro und die Gräfin?",Le nozze di Figaro,images/Mozart.jpg,correct-answer:figaro->mozart
L3-29,3,Oper & Musiktheater,Welche Oper stammt von Rossini?,La Cenerentola,images/rossini.jpg,correct-answer:cenerentola->rossini
L3-30,3,Oper & Musiktheater,Welche Oper von Puccini spielt in Japan?,Madama Butterfly,images/puccini.jpg,correct-answer:madama butterfly->puccini
L3-31,3,Epochen & Stil,Zu welcher Epoche gehört Johann Sebastian Bach?,Barock,images/bach.jpg,text:johann sebastian bach->bach
L3-32,3,Epochen & Stil,Zu welcher Epoche gehört Wolfgang Amadeus Mozart?,Klassik,images/Mozart.jpg,text:wolfgang amadeus mozart->mozart
L3-33,3,Epochen & Stil,Welche Epoche folgt historisch ungefähr auf den Barock?,Klassik,images/icon-512.png,neutral-logo
L3-34,3,Epochen & Stil,Welche Epoche verbindet man oft mit grossen Gefühlen und Naturbildern?,Romantik,images/icon-512.png,neutral-logo
L3-35,3,Epochen & Stil,Welcher Komponist steht oft an der Schwelle von Klassik zu Romantik?,Beethoven,images/beethoven.webp,correct-answer:beethoven->beethoven
L3-36,3,Epochen & Stil,Welche Stilrichtung verbindet man besonders mit Debussy und Ravel?,Impressionismus,images/debussy.jpg,correct-answer:impressionismus->debussy
L3-37,3,Epochen & Stil,Welche Musikrichtung arbeitet häufig mit Wiederholung und kleinen Veränderungen?,Minimal Music,images/icon-512.png,neutral-logo
L3-38,3,Epochen & Stil,Welche Epoche liegt ungefähr vor dem Barock?,Renaissance,images/icon-512.png,neutral-logo
L3-39,3,Epochen & Stil,"Welche Epoche ist besonders mit Komponisten wie Schubert, Schumann und Chopin verbunden?",Romantik,images/schubert.png,text:schubert->schubert
L3-40,3,Epochen & Stil,Mit welcher Technik verbindet man Arnold Schönberg besonders?,Zwölftontechnik,images/schoenberg.jpg,correct-answer:zwölftontechnik->schoenberg
L4-1,4,Oper & Musiktheater,Wer komponierte die Oper 'Don Giovanni'?,Mozart,images/Mozart.jpg,correct-answer:mozart->mozart
L4-2,4,Oper & Musiktheater,Wer komponierte die Oper 'Carmen'?,Bizet,images/bizet.jpg,correct-answer:bizet->bizet
L4-3,4,Oper & Musiktheater,Wer komponierte 'La Bohème'?,Puccini,images/puccini.jpg,correct-answer:puccini->puccini
L4-4,4,Oper & Musiktheater,Wer komponierte 'Il barbiere di Siviglia'?,Rossini,images/rossini.jpg,correct-answer:rossini->rossini
L4-5,4,Werkkunde,Wer komponierte 'Der Ring des Nibelungen'?,Richard Wagner,images/wagner.jpg,correct-answer:richard wagner->wagner
L4-6,4,Oper & Musiktheater,Wer komponierte 'Der Rosenkavalier'?,Richard Strauss,images/rstrauss.jpg,correct-answer:richard strauss->rstrauss
L4-7,4,Oper & Musiktheater,Wer komponierte die Oper 'Wozzeck'?,Alban Berg,images/albanberg.jpg,correct-answer:alban berg->albanberg
L4-8,4,Oper & Musiktheater,Wer komponierte 'Dido and Aeneas'?,Henry Purcell,images/purcell.jpg,correct-answer:henry purcell->purcell
L4-9,4,Oper & Musiktheater,Wer gilt als einer der wichtigsten frühen Opernkomponisten um 1600?,Monteverdi,images/monteverdi.jpg,correct-answer:monteverdi->monteverdi
L4-10,4,Oper & Musiktheater,Welche Oper stammt von Giuseppe Verdi?,Aida,images/verdi.jpg,correct-answer:aida->verdi
L4-11,4,Formen & Gattungen,Was ist eine Passacaglia?,Variationsform über Bassmodell,images/icon-512.png,neutral-logo
L4-12,4,Formen & Gattungen,Was bezeichnet ein „Rondo“?,Wiederkehr eines Hauptteils,images/icon-512.png,neutral-logo
L4-13,4,Formen & Gattungen,Was ist ein Madrigal?,Mehrstimmiges weltliches Vokalstück,images/icon-512.png,neutral-logo
L4-14,4,Formen & Gattungen,Was ist eine Suite?,Folge mehrerer Tanz- oder Charakterstücke,images/icon-512.png,neutral-logo
L4-15,4,Oper & Musiktheater,Was ist ein Rezitativ?,Sprechnahe Gesangsform in Oper/Oratorium,images/icon-512.png,neutral-logo
L4-16,4,Formen & Gattungen,Was ist ein Divertimento?,Unterhaltendes mehrsätziges Instrumentalwerk,images/icon-512.png,neutral-logo
L4-17,4,Formen & Gattungen,Was bedeutet „Da capo“ in einer Arie?,Zurück zum Anfang,images/icon-512.png,neutral-logo
L4-18,4,Kirchenmusik & Chor,Was ist eine Kantate?,Mehrteiliges Vokalwerk mit Instrumenten,images/icon-512.png,neutral-logo
L4-19,4,Formen & Gattungen,Was ist ein Scherzo?,"Schneller, oft humorvoller Satz",images/icon-512.png,neutral-logo
L4-20,4,Formen & Gattungen,Was ist eine Toccata?,Virtuoses Instrumentalstück,images/icon-512.png,neutral-logo
L4-21,4,Oper & Musiktheater,Welche Oper von Strauss spielt mit einem bürgerlich-adligen Wiener Milieu und einer berühmten Marschallin?,Der Rosenkavalier,images/rstrauss.jpg,correct-answer:rosenkavalier->rstrauss
L4-22,4,Oper & Musiktheater,Welche Oper von Beethoven steht für Freiheits- und Rettungsthematik?,Fidelio,images/beethoven.webp,correct-answer:fidelio->beethoven
L4-23,4,Oper & Musiktheater,Welche Oper von Mussorgsky behandelt eine russische Herrscherfigur?,Boris Godunow,images/mussorgsky.jpg,correct-answer:boris godunow->mussorgsky
L4-24,4,Oper & Musiktheater,Welche Oper von Debussy verzichtet weitgehend auf traditionelle Nummernoper und wirkt sprachnahe?,Pelléas et Mélisande,images/debussy.jpg,correct-answer:pelléas->debussy
L4-25,4,Oper & Musiktheater,Was ist ein „Libretto“?,Textbuch einer Oper oder eines Oratoriums,images/icon-512.png,neutral-logo
L4-26,4,Kirchenmusik & Chor,Was bedeutet „cantus firmus“?,Vorgegebene Melodie als Grundlage,images/icon-512.png,neutral-logo
L4-27,4,Kirchenmusik & Chor,Was ist eine Choralmotette?,Motette auf Grundlage eines Chorals,images/icon-512.png,neutral-logo
L4-28,4,Kirchenmusik & Chor,Was bedeutet „antiphonal“ im Chorsingen?,Wechselgesang zwischen Gruppen,images/icon-512.png,neutral-logo
L4-29,4,Kirchenmusik & Chor,Was ist ein Introitus?,Eingangsgesang der Messe,images/icon-512.png,neutral-logo
L4-30,4,Kirchenmusik & Chor,Was ist ein Graduale?,Messgesang zwischen Lesungen,images/icon-512.png,neutral-logo
L4-31,4,Oper & Musiktheater,Was ist eine Arie?,Ein solistisches Gesangsstück in Oper oder Oratorium,images/icon-512.png,neutral-logo
L4-32,4,Oper & Musiktheater,Was ist ein Rezitativ?,Sprechähnlicher Gesang,images/icon-512.png,neutral-logo
L4-33,4,Oper & Musiktheater,In welcher Oper kommt die Arie „Nessun dorma“ vor?,Turandot,images/puccini.jpg,correct-answer:turandot->puccini
L4-34,4,Oper & Musiktheater,Wer komponierte „La bohème“?,Puccini,images/puccini.jpg,correct-answer:puccini->puccini
L4-35,4,Oper & Musiktheater,Welche Wagner-Oper spielt rund um den Sängerwettstreit auf der Wartburg?,Tannhäuser,images/wagner.jpg,correct-answer:tannhäuser->wagner
L4-36,4,Oper & Musiktheater,Welche Stimmlage singt oft jugendliche Heldinnen oder lyrische Frauenrollen?,Sopran,images/icon-512.png,neutral-logo
L4-37,4,Oper & Musiktheater,Was bezeichnet ein Ensemble in der Oper?,Eine Szene mit mehreren gleichzeitig singenden Figuren,images/icon-512.png,neutral-logo
L4-38,4,Oper & Musiktheater,Welche Opernfigur gehört zu Bizets „Carmen“?,Don José,images/bizet.jpg,correct-answer:don josé->bizet
L4-39,4,Oper & Musiktheater,In welcher Oper kommt Papageno vor?,Die Zauberflöte,images/Mozart.jpg,correct-answer:zauberflöte->mozart
L4-40,4,Oper & Musiktheater,Was ist ein Libretto?,Der Text einer Oper,images/icon-512.png,neutral-logo
L5-1,5,Werkkunde,"Welcher Komponist schrieb besonders viele Mazurken, Polonaisen und Nocturnes?",Chopin,images/chopin.jpg,correct-answer:chopin->chopin
L5-2,5,Werkkunde,Wer komponierte die 'Slawischen Tänze'?,Dvořák,images/dvorak.jpg,correct-answer:dvořák->dvorak
L5-3,5,Formen & Gattungen,Welcher Komponist schrieb die sinfonische Dichtung 'Die Moldau'?,Smetana,images/smetana.jpg,correct-answer:smetana->smetana
L5-4,5,Werkkunde,Wer komponierte die Schauspielmusik 'Peer Gynt'?,Grieg,images/grieg.jpg,correct-answer:grieg->grieg
L5-5,5,Werkkunde,Welcher Komponist schrieb 'Finlandia'?,Sibelius,images/sibelius.jpg,correct-answer:sibelius->sibelius
L5-6,5,Werkkunde,Wer komponierte die 'Bilder einer Ausstellung'?,Mussorgsky,images/mussorgsky.jpg,correct-answer:mussorgsky->mussorgsky
L5-7,5,Formen & Gattungen,Welcher Komponist schrieb die 'Enigma Variations'?,Elgar,images/elgar.jpg,correct-answer:elgar->elgar
L5-8,5,Formen & Gattungen,Wer komponierte das berühmte Klavierkonzert Nr. 2 c-Moll?,Rachmaninoff,images/rachmaninoff.jpg,correct-answer:rachmaninoff->rachmaninoff
L5-9,5,Werkkunde,Welcher Komponist schrieb zahlreiche Liederzyklen und war mit Clara Schumann verheiratet?,Robert Schumann,images/schumann.jpg,correct-answer:robert schumann->schumann
L5-10,5,Kirchenmusik & Chor,Wer komponierte 'Ein deutsches Requiem'?,Brahms,images/brahms.jpg,correct-answer:brahms->brahms
L5-11,5,Oper & Musiktheater,Welche Oper stammt von Carl Maria von Weber?,Der Freischütz,images/weber.jpg,correct-answer:freischütz->weber
L5-12,5,Oper & Musiktheater,Welche Figur singt „Der Hölle Rache“?,Königin der Nacht,images/Mozart.jpg,text:zauberflöte->mozart
L5-13,5,Oper & Musiktheater,Welche Oper spielt teilweise in Sevilla und handelt von einer freiheitsliebenden Frau?,Carmen,images/bizet.jpg,correct-answer:carmen->bizet
L5-14,5,Oper & Musiktheater,Wer komponierte „Hänsel und Gretel“?,Humperdinck,images/humperdinck.jpg,correct-answer:humperdinck->humperdinck
L5-15,5,Oper & Musiktheater,Welche Oper stammt von Richard Strauss?,Salome,images/rstrauss.jpg,correct-answer:salome->rstrauss
L5-16,5,Oper & Musiktheater,Welche Oper basiert auf einem Stoff von Shakespeare und wurde von Verdi komponiert?,Otello,images/verdi.jpg,correct-answer:otello->verdi
L5-17,5,Oper & Musiktheater,In welcher Oper tritt die Figur Sarastro auf?,Die Zauberflöte,images/Mozart.jpg,correct-answer:zauberflöte->mozart
L5-18,5,Oper & Musiktheater,Welche Oper von Puccini spielt im Künstler- und Studentenmilieu von Paris?,La Bohème,images/puccini.jpg,correct-answer:la bohème->puccini
L5-19,5,Oper & Musiktheater,Welche Oper von Dvořák enthält das berühmte „Lied an den Mond“?,Rusalka,images/dvorak.jpg,correct-answer:rusalka->dvorak
L5-20,5,Oper & Musiktheater,Welche Oper ist ein zentrales Werk des deutschen romantischen Musiktheaters?,Der Freischütz,images/weber.jpg,correct-answer:freischütz->weber
L5-21,5,Kirchenmusik & Chor,Was bedeutet „responsorial“?,Wechsel zwischen Vorsänger und Antwortgruppe,images/icon-512.png,neutral-logo
L5-22,5,Kirchenmusik & Chor,Was ist ein „Credo“ in der Messe?,Glaubensbekenntnis,images/icon-512.png,neutral-logo
L5-23,5,Kirchenmusik & Chor,Was bezeichnet „Basso continuo“ in barocker Kirchenmusik?,fortlaufende Bass- und Harmoniestütze,images/icon-512.png,neutral-logo
