level,question,image
1,"Welche Oper von Verdi enthält den berühmten Gefangenenchor „Va, pensiero“?",verdi.jpg
1,Welcher Komponist schrieb viele Werke für Klavier und lebte lange in Paris?,chopin.jpg
1,Welcher Komponist schrieb die Oper „Der Freischütz“?,weber.jpg
1,Welcher Komponist stammt aus Norwegen?,grieg.jpg
1,Welcher Komponist schrieb „Carmina Burana“?,orff.jpg
2,Wer komponierte die 'Matthäus-Passion'?,bach.jpg
2,Wer komponierte die Oper 'La Traviata'?,verdi.jpg
2,Welcher Komponist schrieb 'Die Moldau'?,smetana.jpg
2,Von wem stammt der berühmte 'Boléro'?,ravel.jpg
2,Wer komponierte 'Carmina Burana'?,orff.jpg
2,Wer komponierte das Musical 'West Side Story'?,bernstein.jpg
2,Wer schrieb 'Ein deutsches Requiem'?,brahms.jpg
2,Wer komponierte 'Le Sacre du printemps'?,stravinsky.jpg
2,Wer komponierte den Opernzyklus 'Der Ring des Nibelungen'?,wagner.jpg
2,Zu welchem Komponisten gehört die Schauspielmusik 'Peer Gynt'?,grieg.jpg
2,Welches Werk beginnt mit dem berühmten Orchester- und Chor-Ausbruch „O Fortuna“?,orff.jpg
2,"Aus welchem Werk stammt der Chor „Va, pensiero“?",verdi.jpg
2,Welches Werk ist ein berühmtes Oratorium von Mendelssohn?,mendelssohn.jpg
2,Welches Werk ist eine Ballettmusik von Tschaikowsky?,tchaikovsky.jpg
2,Welches Werk stammt von Mussorgsky und wurde später von Ravel orchestriert?,mussorgsky.jpg
2,Welches Werk ist eine sinfonische Dichtung von Smetana?,smetana.jpg
2,Welches Werk ist ein Klavierzyklus von Schumann?,schumann.jpg
2,Welches Werk ist ein berühmter Liederzyklus von Schubert?,schubert.png
2,Welche Oper stammt von Leoš Janáček?,janacek.jpg
2,Welches Werk gehört zu Ravels bekanntesten Orchesterstücken?,ravel.jpg
2,Welches Werk ist ein berühmtes Orchesterwerk von Debussy?,debussy.jpg
2,Welches Werk von Brahms ist kein Requiem im liturgisch-lateinischen Sinn?,brahms.jpg
2,Welches Werk ist eine berühmte sinfonische Dichtung von Richard Strauss?,rstrauss.jpg
2,Welches Werk von Sibelius gilt als musikalisches Symbol Finnlands?,sibelius.jpg
2,Welches Werk stammt nicht von Felix Mendelssohn Bartholdy?,mendelssohn.jpg
2,Welches Werk ist ein berühmtes Klavierkonzert von Grieg?,grieg.jpg
2,Welches Werk stammt von Fauré?,faure.jpg
2,Welches Werk ist ein Liederzyklus von Robert Schumann?,schumann.jpg
2,Welches Werk ist eine Oper von Gershwin?,gershwin.jpg
2,Welches Werk gehört zu Mussorgskys bekanntesten Bühnenwerken?,mussorgsky.jpg
2,Wer schrieb das berühmteste Weihnachtsoratorium?,bach.jpg
2,Wer komponierte „Die Zauberflöte“?,mozart.jpg
2,Zu welchem Werk gehört der berühmte „Halleluja“-Chor?,handel.jpg
2,Wer schrieb „Ein deutsches Requiem“?,brahms.jpg
2,Wer komponierte „Die Moldau“?,smetana.jpg
2,Wer schrieb die „Kinderszenen“?,schumann.jpg
2,Wer komponierte „Peter und der Wolf“?,prokofiev.jpg
2,Wer schrieb „The Young Person’s Guide to the Orchestra“?,britten.jpg
2,Wer komponierte „Boléro“?,ravel.jpg
2,Wer schrieb die Oper „Carmen“?,bizet.jpg
3,Johann Sebastian Bach gehört hauptsächlich zu welcher Epoche?,bach.jpg
3,Wolfgang Amadeus Mozart ist ein zentraler Komponist welcher Epoche?,mozart.jpg
3,Frédéric Chopin wird vor allem welcher Epoche zugeordnet?,chopin.jpg
3,Claude Debussy wird besonders mit welcher Stilrichtung verbunden?,debussy.jpg
3,Arnold Schönberg ist eng verbunden mit welcher musikalischen Entwicklung?,schoenberg.jpg
3,Giovanni Pierluigi da Palestrina steht besonders für welche Epoche?,palestrina.jpg
3,Claudio Monteverdi steht musikgeschichtlich besonders an der Schwelle zwischen ...,monteverdi.jpg
3,Igor Strawinsky gehört vor allem zur Musik welcher Zeit?,stravinsky.jpg
3,Joseph Haydn gilt als wichtiger Vertreter welcher Epoche?,jhaydn.jpg
3,John Cage wird besonders mit welcher Richtung verbunden?,cage.jpg
3,Welche Epoche verbindet man besonders mit Generalbass und Affektenlehre?,icon-512.png
3,Welche Stilrichtung arbeitet oft mit schwebenden Klangfarben und Ganztonleitern?,icon-512.png
3,Welche Epoche bevorzugte häufig klare Periodik und ausgewogene Formen?,icon-512.png
3,Welche musikalische Richtung ist eng mit Arnold Schönberg verbunden?,schoenberg.jpg
3,Welche Epoche steht zeitlich vor dem Barock?,icon-512.png
3,"Welche Epoche wird häufig mit gesteigerter Subjektivität, Naturbildern und Sehnsucht verbunden?",icon-512.png
3,Welcher Begriff passt besonders zur Musik um 1900 mit stark erweiterter Harmonik?,schoenberg.jpg
3,Welche Stilrichtung verwendet oft wiederholte Muster und langsame Veränderungen?,icon-512.png
3,Welche Epoche brachte die Mehrchörigkeit der venezianischen Schule hervor?,icon-512.png
3,Welche Epoche liegt ungefähr zwischen Renaissance und Klassik?,icon-512.png
3,Welches Werk ist eine berühmte Tondichtung von Dukas?,dukas.jpg
3,Welches Werk von Britten ist ein grosser Beitrag zur Chorliteratur des 20. Jahrhunderts?,britten.jpg
3,Welches Werk ist ein berühmter Klavierzyklus von Debussy?,debussy.jpg
3,Welches Werk gehört zur Kirchenmusik von Rossini?,rossini.jpg
3,Welches Werk ist eine sinfonische Dichtung von Liszt?,liszt.jpg
3,Welche Oper stammt von Verdi und spielt im alten Ägypten?,verdi.jpg
3,Was bezeichnet man in Wagners Musikdramen häufig als „Leitmotiv“?,icon-512.png
3,"Welche Oper von Mozart enthält die Figuren Susanna, Figaro und die Gräfin?",mozart.jpg
3,Welche Oper stammt von Rossini?,rossini.jpg
3,Welche Oper von Puccini spielt in Japan?,puccini.jpg
3,Zu welcher Epoche gehört Johann Sebastian Bach?,bach.jpg
3,Zu welcher Epoche gehört Wolfgang Amadeus Mozart?,mozart.jpg
3,Welche Epoche folgt historisch ungefähr auf den Barock?,icon-512.png
3,Welche Epoche verbindet man oft mit grossen Gefühlen und Naturbildern?,icon-512.png
3,Welcher Komponist steht oft an der Schwelle von Klassik zu Romantik?,beethoven.webp
3,Welche Stilrichtung verbindet man besonders mit Debussy und Ravel?,debussy.jpg
3,Welche Musikrichtung arbeitet häufig mit Wiederholung und kleinen Veränderungen?,icon-512.png
3,Welche Epoche liegt ungefähr vor dem Barock?,icon-512.png
3,"Welche Epoche ist besonders mit Komponisten wie Schubert, Schumann und Chopin verbunden?",schubert.png
3,Mit welcher Technik verbindet man Arnold Schönberg besonders?,schoenberg.jpg
4,Wer komponierte die Oper 'Don Giovanni'?,mozart.jpg
4,Wer komponierte die Oper 'Carmen'?,bizet.jpg
4,Wer komponierte 'La Bohème'?,puccini.jpg
4,Wer komponierte 'Il barbiere di Siviglia'?,rossini.jpg
4,Wer komponierte 'Der Ring des Nibelungen'?,wagner.jpg
4,Wer komponierte 'Der Rosenkavalier'?,rstrauss.jpg
4,Wer komponierte die Oper 'Wozzeck'?,albanberg.jpg
4,Wer komponierte 'Dido and Aeneas'?,purcell.jpg
4,Wer gilt als einer der wichtigsten frühen Opernkomponisten um 1600?,monteverdi.jpg
4,Welche Oper stammt von Giuseppe Verdi?,verdi.jpg
4,Was ist eine Passacaglia?,icon-512.png
4,Was bezeichnet ein „Rondo“?,icon-512.png
4,Was ist ein Madrigal?,icon-512.png
4,Was ist eine Suite?,icon-512.png
4,Was ist ein Rezitativ?,icon-512.png
4,Was ist ein Divertimento?,icon-512.png
4,Was bedeutet „Da capo“ in einer Arie?,icon-512.png
4,Was ist eine Kantate?,icon-512.png
4,Was ist ein Scherzo?,icon-512.png
4,Was ist eine Toccata?,icon-512.png
4,Welche Oper von Strauss spielt mit einem bürgerlich-adligen Wiener Milieu und einer berühmten Marschallin?,rstrauss.jpg
4,Welche Oper von Beethoven steht für Freiheits- und Rettungsthematik?,beethoven.webp
4,Welche Oper von Mussorgsky behandelt eine russische Herrscherfigur?,mussorgsky.jpg
4,Welche Oper von Debussy verzichtet weitgehend auf traditionelle Nummernoper und wirkt sprachnahe?,debussy.jpg
4,Was ist ein „Libretto“?,icon-512.png
4,Was bedeutet „cantus firmus“?,icon-512.png
4,Was ist eine Choralmotette?,icon-512.png
4,Was bedeutet „antiphonal“ im Chorsingen?,icon-512.png
4,Was ist ein Introitus?,icon-512.png
4,Was ist ein Graduale?,icon-512.png
4,Was ist eine Arie?,icon-512.png
4,Was ist ein Rezitativ?,icon-512.png
4,In welcher Oper kommt die Arie „Nessun dorma“ vor?,puccini.jpg
4,Wer komponierte „La bohème“?,puccini.jpg
4,Welche Wagner-Oper spielt rund um den Sängerwettstreit auf der Wartburg?,wagner.jpg
4,Welche Stimmlage singt oft jugendliche Heldinnen oder lyrische Frauenrollen?,icon-512.png
4,Was bezeichnet ein Ensemble in der Oper?,icon-512.png
4,Welche Opernfigur gehört zu Bizets „Carmen“?,bizet.jpg
4,In welcher Oper kommt Papageno vor?,mozart.jpg
4,Was ist ein Libretto?,icon-512.png
5,"Welcher Komponist schrieb besonders viele Mazurken, Polonaisen und Nocturnes?",chopin.jpg
5,Wer komponierte die 'Slawischen Tänze'?,dvorak.jpg
5,Welcher Komponist schrieb die sinfonische Dichtung 'Die Moldau'?,smetana.jpg
5,Wer komponierte die Schauspielmusik 'Peer Gynt'?,grieg.jpg
5,Welcher Komponist schrieb 'Finlandia'?,sibelius.jpg
5,Wer komponierte die 'Bilder einer Ausstellung'?,mussorgsky.jpg
5,Welcher Komponist schrieb die 'Enigma Variations'?,elgar.jpg
5,Wer komponierte das berühmte Klavierkonzert Nr. 2 c-Moll?,rachmaninoff.jpg
5,Welcher Komponist schrieb zahlreiche Liederzyklen und war mit Clara Schumann verheiratet?,schumann.jpg
5,Wer komponierte 'Ein deutsches Requiem'?,brahms.jpg
5,Welche Oper stammt von Carl Maria von Weber?,weber.jpg
5,Welche Figur singt „Der Hölle Rache“?,mozart.jpg
5,Welche Oper spielt teilweise in Sevilla und handelt von einer freiheitsliebenden Frau?,bizet.jpg
5,Wer komponierte „Hänsel und Gretel“?,humperdinck.jpg
5,Welche Oper stammt von Richard Strauss?,rstrauss.jpg
5,Welche Oper basiert auf einem Stoff von Shakespeare und wurde von Verdi komponiert?,verdi.jpg
5,In welcher Oper tritt die Figur Sarastro auf?,mozart.jpg
5,Welche Oper von Puccini spielt im Künstler- und Studentenmilieu von Paris?,puccini.jpg
5,Welche Oper von Dvořák enthält das berühmte „Lied an den Mond“?,dvorak.jpg
5,Welche Oper ist ein zentrales Werk des deutschen romantischen Musiktheaters?,weber.jpg
5,Was bedeutet „responsorial“?,icon-512.png
5,Was ist ein „Credo“ in der Messe?,icon-512.png
5,Was bezeichnet „Basso continuo“ in barocker Kirchenmusik?,icon-512.png
5,Was ist ein „Offertorium“?,icon-512.png
5,Was ist ein „Vesperpsalm“?,icon-512.png
5,Was ist eine „sinfonische Dichtung“?,icon-512.png
5,Was ist ein „Charakterstück“?,icon-512.png
5,Was bedeutet „Variationsform“?,icon-512.png
5,Was ist eine „Ouvertüre“?,icon-512.png
5,Was ist eine „Etüde“?,icon-512.png
5,Welcher Schweizer Komponist schrieb das Oratorium „Le Roi David“?,honegger.jpg
5,Welcher Komponist wurde in Bonn geboren?,beethoven.webp
5,Welcher Komponist stammt aus Salzburg?,mozart.jpg
5,Welcher Komponist ist besonders mit Wien verbunden und schrieb viele Lieder?,schubert.png
5,Was ist die Aufgabe der Konzertmeisterin oder des Konzertmeisters im Orchester?,icon-512.png
5,Was ist ein Laienchor?,icon-512.png
5,Was bedeutet „Uraufführung“?,icon-512.png
5,Was ist ein Dirigent?,icon-512.png
5,Was ist eine Partitur?,icon-512.png
5,Was ist eine Generalprobe?,icon-512.png
6,Wer komponierte die berühmte 'Marienvesper' von 1610?,monteverdi.jpg
6,Welcher Komponist gilt als zentraler Vertreter der römischen Vokalpolyphonie der Renaissance?,palestrina.jpg
6,Wer komponierte 'Dido and Aeneas'?,purcell.jpg
6,Welcher Komponist ist besonders mit der französischen Hofoper unter Ludwig XIV. verbunden?,lully.jpg
6,Wer gilt als einer der wichtigsten Meister des Concerto grosso?,corelli.jpg
6,Welcher norddeutsche Komponist und Organist war ein wichtiger Vorgänger Bachs?,buxtehude.jpg
6,Wer komponierte die 'Musikalischen Exequien'?,schuetz.jpg
6,Welcher Komponist schrieb das Oratorium 'Messiah'?,handel.jpg
6,Welcher Komponist wird stark mit venezianischer Mehrchörigkeit verbunden?,ggabrieli.jpg
6,Welcher Bach-Sohn steht besonders für den empfindsamen Stil zwischen Barock und Klassik?,cpebach.jpg
6,Was bedeuten „con sordino“ und „senza sordino“ bei Streichinstrumenten?,icon-512.png
6,Welcher Text gehört fest zum lateinischen Messordinarium?,icon-512.png
6,Welcher Satz gehört nicht zum gewöhnlichen Messordinarium?,icon-512.png
6,Was ist ein Choral im evangelischen Kontext?,icon-512.png
6,Was bedeutet „divisi“ in Chornoten?,icon-512.png
6,Was ist ein Requiem?,mozart.jpg
6,Welcher Lobgesang beginnt mit „Magnificat anima mea Dominum“?,icon-512.png
6,Was ist ein „Stabat Mater“?,icon-512.png
6,Was ist ein „Te Deum“?,icon-512.png
6,Was bezeichnet „Psalmvertonung“?,icon-512.png
6,Was ist ein „Nocturne“?,icon-512.png
6,Was ist ein „Impromptu“?,icon-512.png
6,Was bezeichnet „Thema mit Variationen“?,icon-512.png
6,Was ist eine „Serenade“?,icon-512.png
6,Was ist ein „Liedzyklus“?,icon-512.png
6,"Welche Schule ist mit Komponisten wie Haydn, Mozart und Beethoven verbunden?",beethoven.webp
6,Welche Stilrichtung steht oft für extreme Ausdrucksspannung und Auflösung der traditionellen Tonalität?,icon-512.png
6,Welche Epoche ist stark mit Polyphonie und Vokalwerken von Palestrina verbunden?,palestrina.jpg
6,Welche Richtung steht für mathematisch organisierte Reihenprinzipien nach 1945?,icon-512.png
6,Welche Stilrichtung der Oper betont schönen Gesang und Virtuosität?,icon-512.png
6,Was bedeutet allegro?,icon-512.png
6,Was bedeutet adagio?,icon-512.png
6,Was bedeutet legato?,icon-512.png
6,Was bedeutet staccato?,icon-512.png
6,Was ist ein Takt?,icon-512.png
6,Was bedeutet Auftakt?,icon-512.png
6,Was bedeutet ritardando?,icon-512.png
6,Was bedeutet accelerando?,icon-512.png
6,Was bedeutet Da capo?,icon-512.png
6,Was bedeutet Fine in Noten?,icon-512.png
7,Welcher Komponist wird häufig mit dem musikalischen Impressionismus verbunden?,debussy.jpg
7,Wer komponierte den berühmten 'Boléro'?,ravel.jpg
7,Welcher Komponist schrieb 'Le Sacre du printemps'?,stravinsky.jpg
7,Wer entwickelte die Zwölftontechnik?,schoenberg.jpg
7,Welcher Komponist gehört zur Zweiten Wiener Schule?,webern.jpg
7,Wer komponierte die Oper 'Wozzeck'?,albanberg.jpg
7,Welcher Komponist ist besonders mit experimenteller Musik und dem Stück '4′33″' verbunden?,cage.jpg
7,Wer komponierte 'Carmina Burana'?,orff.jpg
7,Welcher amerikanische Komponist schrieb 'Appalachian Spring'?,copland.jpg
7,Wer komponierte das 'War Requiem'?,britten.jpg
7,Wie viele Halbtöne hat eine reine Quinte?,icon-512.png
7,Wie viele Halbtöne hat eine grosse Terz?,icon-512.png
7,Welches Intervall liegt zwischen C und F?,icon-512.png
7,Welche Tonart hat drei Kreuze?,icon-512.png
7,Welche Tonart hat zwei B?,icon-512.png
7,Was bedeutet „legato“?,icon-512.png
7,Was bedeutet „staccato“?,icon-512.png
7,Was bedeutet „crescendo“?,icon-512.png
7,Was bedeutet „diminuendo“?,icon-512.png
7,Was ist eine Synkope?,icon-512.png
7,Was bedeutet „atonal“ vereinfacht gesagt?,icon-512.png
7,Welche Epoche entwickelte die Sonatenhauptsatzform besonders stark weiter?,icon-512.png
7,Welche Richtung ist mit Komponisten wie Steve Reich und Philip Glass verbunden?,icon-512.png
7,Was meint „Historismus“ in der Musik grob?,icon-512.png
7,"Welche Epoche ist besonders mit höfischen Tänzen, Generalbass und Concerto grosso verbunden?",icon-512.png
7,Was ist ein Englischhorn?,icon-512.png
7,Welches Instrument ist die tiefere Schwester der Oboe?,icon-512.png
7,Welches Instrument spielt häufig die Basslinie im Barock-Continuo?,icon-512.png
7,Was ist eine Celesta?,icon-512.png
7,Welches Instrument gehört zu den Doppelrohrblattinstrumenten?,icon-512.png
7,Wie viele Halbtöne hat eine Oktave?,icon-512.png
7,Welches Intervall umfasst acht Tonstufen?,icon-512.png
7,Was bedeutet forte?,icon-512.png
7,Was bedeutet piano?,icon-512.png
7,Was bedeutet crescendo?,icon-512.png
7,Was bedeutet diminuendo?,icon-512.png
7,Welche Tonart hat ein Kreuz als Vorzeichen?,icon-512.png
7,Welche Tonart hat ein b als Vorzeichen?,icon-512.png
7,Was ist ein Dreiklang?,icon-512.png
7,Was ist eine Dur-Tonleiter?,icon-512.png
8,"Welche Gattung vertont normalerweise die festen Teile der katholischen Liturgie wie Kyrie, Gloria, Credo, Sanctus und Agnus Dei?",icon-512.png
8,Welche Gattung ist eine Vertonung der Totenmesse?,mozart.jpg
8,Welche Gattung erzählt musikalisch die Leidensgeschichte Jesu?,icon-512.png
8,Was unterscheidet ein Oratorium typischerweise von einer Oper?,icon-512.png
8,Welche Gattung ist besonders eng mit mehrstimmiger geistlicher Vokalmusik verbunden?,icon-512.png
8,Was meint 'a cappella' im Chorkontext?,icon-512.png
8,Welche Aussage beschreibt eine Kantate am besten?,icon-512.png
8,Was ist ein Choral im protestantischen Kirchenmusik-Kontext?,icon-512.png
8,Welche Besetzung meint die Abkürzung SATB im Chor?,icon-512.png
8,Welche Musikform ist besonders typisch für die Renaissance-Vokalpolyphonie?,icon-512.png
8,Zu welcher Instrumentenfamilie gehört die Oboe?,icon-512.png
8,Welches Instrument verwendet ein Doppelrohrblatt?,icon-512.png
8,Welches Instrument ist das tiefste reguläre Streichinstrument im Sinfonieorchester?,icon-512.png
8,Welches Blechblasinstrument besitzt meist einen Zug?,icon-512.png
8,Welches Instrument ist ein Tasteninstrument mit gezupften Saiten?,icon-512.png
8,Welches Instrument kann besonders lange Töne durch Luftreservoir und Tasten erzeugen?,icon-512.png
8,Welches Schlaginstrument kann bestimmte Tonhöhen spielen und wird mit Pedal gestimmt?,icon-512.png
8,Welches Instrument gehört zu den tiefen Holzblasinstrumenten?,icon-512.png
8,Welches Instrument ist eine tiefer klingende Bauform der Klarinette?,icon-512.png
8,Welches Instrument spielt im Orchester häufig die Stimmgabel-Rolle beim Einstimmen?,icon-512.png
8,Was bedeutet „pizzicato“ bei Streichinstrumenten?,icon-512.png
8,Was bedeutet „arco“ bei Streichinstrumenten?,icon-512.png
8,Welches Instrument gehört nicht zu den klassischen Holzbläsern des Sinfonieorchesters?,icon-512.png
8,Was ist ein „Register“ bei der Orgel?,icon-512.png
8,Welche Besetzung entspricht dem klassischen Streichquartett?,icon-512.png
8,Was ist eine Kadenz in der Harmonielehre?,icon-512.png
8,Welche Stufe ist in C-Dur die Dominante?,icon-512.png
8,Welche Stufe ist in C-Dur die Subdominante?,icon-512.png
8,Was ist ein Leitton in Dur?,icon-512.png
8,Was ist eine enharmonische Verwechslung?,icon-512.png
8,In welcher Sprache sind viele klassische Messvertonungen geschrieben?,icon-512.png
8,Was ist ein Magnificat?,icon-512.png
8,Welcher Komponist schrieb das Oratorium „Elias“?,mendelssohn.jpg
8,Was ist ein Psalm?,icon-512.png
8,Was meint „gemischter Chor“?,icon-512.png
8,Was bedeutet homophon im Chorsatz?,icon-512.png
8,Welcher Teil gehört typischerweise zur Messe?,icon-512.png
8,Was ist ein Orgelpunkt?,icon-512.png
8,Was ist ein Kanon?,icon-512.png
8,Welche Stimme liegt im gemischten Chor meist am tiefsten?,icon-512.png
9,Welche Gattung ist typischerweise ein mehrsätziges Werk für Orchester?,icon-512.png
9,Was bezeichnet eine Sonate im klassischen Sinn meistens?,icon-512.png
9,"Welche Form arbeitet besonders mit einem Thema, das nacheinander in verschiedenen Stimmen einsetzt?",icon-512.png
9,Was ist eine Variation?,icon-512.png
9,Was ist ein Konzert im klassischen Sinn?,icon-512.png
9,Was meint 'Concerto grosso'?,icon-512.png
9,Welche Gattung ist eine Folge von Tänzen oder tanzartigen Sätzen?,icon-512.png
9,Was ist eine Ouvertüre?,icon-512.png
9,Was ist der Unterschied zwischen Rezitativ und Arie in der Oper?,icon-512.png
9,Was ist eine sinfonische Dichtung?,icon-512.png
9,Was macht ein Konzertmeister oder eine Konzertmeisterin im Orchester?,icon-512.png
9,Was bedeutet „Stimmton A = 440 Hz“?,icon-512.png
9,Was ist eine Generalprobe?,icon-512.png
9,Was bedeutet „Besetzung“ in der Musikpraxis?,icon-512.png
9,Was ist eine Kadenz im Solokonzert?,icon-512.png
9,Was bedeutet „vom Blatt spielen“?,icon-512.png
9,Was bezeichnet „Intonation“?,icon-512.png
9,Was ist ein Stimmführer im Chor?,icon-512.png
9,Was ist ein Programmheft?,icon-512.png
9,Was bedeutet „Tutti“?,icon-512.png
9,Welche Taktart hat drei Viertel pro Takt?,icon-512.png
9,Was bedeutet „alla breve“?,icon-512.png
9,Was ist eine Triole?,icon-512.png
9,Was bedeutet „chromatisch“?,icon-512.png
9,Was bedeutet „diatonisch“?,icon-512.png
9,Was bedeutet „Transposition“?,icon-512.png
9,Was ist ein „Korrepetitor“?,icon-512.png
9,Was bedeutet „Einsingen“ im Chor nicht?,icon-512.png
9,Was ist eine „Stimmprobe“?,icon-512.png
9,Was ist ein sinnvoller Zweck eines Probenplans?,icon-512.png
9,"Wie nennt man eine klassische Form mit Exposition, Durchführung und Reprise?",icon-512.png
9,"Wie nennt man ein Orchesterwerk, das eine Geschichte, ein Bild oder eine Idee musikalisch darstellt?",icon-512.png
9,"Welche Form ist typisch, wenn ein Hauptthema immer wiederkehrt und von Zwischenteilen unterbrochen wird?",icon-512.png
9,"Wie nennt man eine Folge von stilisierten Tänzen, besonders im Barock?",icon-512.png
9,Welche Gattung ist im Barock oft für zwei Oberstimmen und Basso continuo geschrieben?,icon-512.png
9,"Wie nennt man ein virtuoses Übungs- oder Vortragsstück, oft für Klavier?",icon-512.png
9,"Welche Gattung bezeichnet ein mehrstimmiges weltliches Vokalstück, besonders in Renaissance und Frühbarock?",icon-512.png
9,"Wie nennt man ein freies, oft improvisatorisch wirkendes Instrumentalstück?",icon-512.png
9,"Welche Gattung ist ein kurzes lyrisches Klavierstück, besonders in der Romantik?",icon-512.png
9,Was ist ein Streichquartett?,icon-512.png
10,Welcher Komponist steht besonders am Übergang von Renaissance zu Barock und ist für die frühe Oper wichtig?,monteverdi.jpg
10,Welches Werk gilt als Schlüsselwerk der musikalischen Moderne und wurde 1913 in Paris uraufgeführt?,stravinsky.jpg
10,Welche Kombination ist korrekt?,bach.jpg
10,Welche Aussage beschreibt eine Fuge am besten?,icon-512.png
10,Welche Komponisten gehören zur Zweiten Wiener Schule?,schoenberg.jpg
10,"Welche Gattung ist typischerweise konzertant, oft geistlich und nicht szenisch gespielt?",icon-512.png
10,Welche Zuordnung ist falsch?,ravel.jpg
10,Welches Werk gehört besonders zur tschechischen Nationalmusik?,smetana.jpg
10,Welche Aussage zu einem Requiem ist richtig?,mozart.jpg
10,Welche Kombination passt am besten zum Begriff 'sinfonische Dichtung'?,icon-512.png
10,Was bedeutet „homophon“?,icon-512.png
10,Was bedeutet „polyphon“?,icon-512.png
10,Was ist ein Ostinato?,icon-512.png
10,Was ist ein Leitmotiv?,icon-512.png
10,Was bedeutet „Klangfarbe“?,icon-512.png
10,Was ist ein Thema in der Musik?,icon-512.png
10,Was ist eine Sequenz?,icon-512.png
10,Was bedeutet „konsonant“ im musikalischen Sinn?,icon-512.png
10,Was bedeutet „dissonant“ im musikalischen Sinn?,icon-512.png
10,Was ist ein Cluster?,icon-512.png
10,Was bedeutet „Tremolo“?,icon-512.png
10,Was bedeutet „Vibrato“?,icon-512.png
10,Was ist ein „Glissando“?,icon-512.png
10,Was bedeutet „sforzato“?,icon-512.png
10,Was bedeutet „subito piano“?,icon-512.png
10,Was bedeutet „rubato“?,icon-512.png
10,Was ist eine „Klangfläche“?,icon-512.png
10,Was bedeutet „monophon“?,icon-512.png
10,Was ist ein „Kanon“?,icon-512.png
10,Was bedeutet „Unisono“?,icon-512.png
10,Welches Instrument gehört zu den Holzbläsern?,icon-512.png
10,Welches Instrument gehört zu den Blechbläsern?,icon-512.png
10,Welches Instrument ist das tiefste Streichinstrument im Orchester?,icon-512.png
10,Welche Instrumente bilden ein klassisches Klaviertrio?,icon-512.png
10,Welche Stimme ist höher: Tenor oder Bass?,icon-512.png
10,Welches Instrument verwendet ein Doppelrohrblatt?,icon-512.png
10,Welches Instrument ist ein Tasteninstrument?,icon-512.png
10,Welche Gruppe sitzt im Orchester meist vorne?,icon-512.png
10,Was bedeutet „Kammermusik“?,icon-512.png
